scope_label,platform,scenario,audit_scope,source,seed,arm,eval_id,trigger_id,theta_hash,orig_label,expected_repeats,query_repeat_rows,parsed_log_repeats,raw_ulg_repeats_without_parsed,recoverable_from_parsed_logs,recoverable_from_existing_logs,needs_resimulation
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,49.0,1.0,d550856b9442f640,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,52.0,1.0,9e498acce171cba6,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,53.0,1.0,bab2608c8c81b302,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,54.0,1.0,3b6447937b13194e,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,55.0,1.0,a40e2cac886dab74,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,56.0,1.0,5e039e75d43935a8,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,57.0,1.0,dafe0addc13f1901,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,58.0,1.0,41aac060c21472c8,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,60.0,1.0,a12adbf6955c7a27,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,62.0,1.0,8059f3fa309806e3,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,64.0,1.0,849b05afcffc6c27,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,69.0,1.0,4762ed3967678505,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,70.0,1.0,a9d454fcafcdeb22,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,71.0,1.0,31100af2fcbdc1e6,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,72.0,1.0,3e0f807d7dc3b97d,robust_violation,5,5,5,0,True,True,False
