cell_id,probe_label,repeat_idx,measured_axis,peak,threshold,rho,query_id,theta_hash,cache_tag,query_retry_count
G07,zero_anchor,2,v_xy,0.04027322195400957,12.0,11.95972677804599,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat2,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat2,0
G07,zero_anchor,2,tilt,0.007811742732242333,0.6108652381980153,0.6030534954657729,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat2,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat2,0
G07,zero_anchor,3,v_xy,0.02496207787550499,12.0,11.975037922124494,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat3,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat3,0
G07,zero_anchor,3,tilt,0.0038072190454160803,0.6108652381980153,0.6070580191525993,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat3,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat3,0
G07,zero_anchor,4,v_xy,0.030683509180972467,12.0,11.969316490819027,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat4,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat4,0
G07,zero_anchor,4,tilt,0.004352593757998788,0.6108652381980153,0.6065126444400165,7b6436b0c98f6238_px4_position_0_contract_grid_G07_zero_anchor_repeat4,7b6436b0c98f6238,contract_grid_G07_zero_anchor_repeat4,0
G07,roll_plus_full,0,v_xy,6.585361396188787,12.0,5.414638603811213,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat0,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat0,0
G07,roll_plus_full,0,tilt,0.42994140087793004,0.6108652381980153,0.18092383732008527,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat0,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat0,0
G07,roll_plus_full,1,v_xy,6.382775588928277,12.0,5.617224411071723,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat1,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat1,0
G07,roll_plus_full,1,tilt,0.429635063178457,0.6108652381980153,0.1812301750195583,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat1,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat1,0
G07,roll_plus_full,2,v_xy,6.040501558018531,12.0,5.959498441981469,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat2,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat2,0
G07,roll_plus_full,2,tilt,0.4312524963708913,0.6108652381980153,0.179612741827124,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat2,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat2,0
G07,roll_plus_full,3,v_xy,6.6745874613959995,12.0,5.3254125386040005,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat3,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat3,0
G07,roll_plus_full,3,tilt,0.42966698329089303,0.6108652381980153,0.18119825490712227,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat3,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat3,0
G07,roll_plus_full,4,v_xy,6.897767241277375,12.0,5.102232758722625,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat4,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat4,0
G07,roll_plus_full,4,tilt,0.42756715567535464,0.6108652381980153,0.18329808252266067,b96ead7c8720e928_px4_position_0_contract_grid_G07_roll_plus_full_repeat4,b96ead7c8720e928,contract_grid_G07_roll_plus_full_repeat4,0
G07,roll_minus_full,0,v_xy,6.487487412081433,12.0,5.512512587918567,efc822e18fc44e8c_px4_position_0_contract_grid_G07_roll_minus_full_repeat0,efc822e18fc44e8c,contract_grid_G07_roll_minus_full_repeat0,0
G07,roll_minus_full,0,tilt,0.4312291311255754,0.6108652381980153,0.17963610707243988,efc822e18fc44e8c_px4_position_0_contract_grid_G07_roll_minus_full_repeat0,efc822e18fc44e8c,contract_grid_G07_roll_minus_full_repeat0,0
